,CIK,Ticker,FilingDate,FileName,SECFileName,DocTypes
1026,745651,ABAT,20141021,0001096906-14-001430.txt.text,0001096906-14-001430.txt,
1027,750199,EPL,20141204,0001144204-14-072237.txt.text,0001144204-14-072237.txt,
1028,792987,ASTE,20141216,0000792987-14-000055.txt.text,0000792987-14-000055.txt,
1029,822708,ZOOM,20141029,0001136261-14-000453.txt.text,0001136261-14-000453.txt,
1030,822708,ZOOM,20141203,0001136261-14-000511.txt.text,0001136261-14-000511.txt,
1031,845289,HNR,20141205,0001299933-14-001874.txt.text,0001299933-14-001874.txt,
1032,864839,ROYL,20141120,0001162677-14-000104.txt.text,0001162677-14-000104.txt,
1033,876523,EZPW,20141219,0000876523-14-000114.txt.text,0000876523-14-000114.txt,
1034,882104,PDLI,20141008,0001437749-14-018124.txt.text,0001437749-14-018124.txt,
1035,884614,UGI,20141204,0001299933-14-001869.txt.text,0001299933-14-001869.txt,
1036,902274,LBY,20141121,0000902274-14-000087.txt.text,0000902274-14-000087.txt,
1037,922475,ESI,20141104,0000922475-14-000038.txt.text,0000922475-14-000038.txt,
1038,932628,APU,20141203,0001299933-14-001854.txt.text,0001299933-14-001854.txt,
1039,1012569,ETP,20150313,0001012569-15-000037.txt.text,0001012569-15-000037.txt,
1040,103145,VECO,20150319,0001104659-15-020897.txt.text,0001104659-15-020897.txt,
1041,1070494,ACAD,20150325,0001193125-15-105155.txt.text,0001193125-15-105155.txt,
1042,1070494,ACAD,20150330,0001193125-15-111746.txt.text,0001193125-15-111746.txt,
1043,1094739,FNSR,20150305,0001102624-15-000339.txt.text,0001102624-15-000339.txt,
1044,1141103,CCRN,20150313,0001628280-15-001758.txt.text,0001628280-15-001758.txt,
1045,1163348,AWH,20150220,0001193125-15-056552.txt.text,0001193125-15-056552.txt,
1046,1171662,GTS,20150115,0001140361-15-001944.txt.text,0001140361-15-001944.txt,
1047,1171662,GTS,20150213,0001140361-15-006600.txt.text,0001140361-15-006600.txt,
1048,1171759,RRGB,20150331,0001628280-15-002072.txt.text,0001628280-15-002072.txt,
1049,1261654,UTI,20150203,0001261654-15-000006.txt.text,0001261654-15-000006.txt,
1050,1267395,AHL,20150205,0001267395-15-000007.txt.text,0001267395-15-000007.txt,
1051,1276187,ETE,20150313,0001276187-15-000024.txt.text,0001276187-15-000024.txt,
1052,1318568,GCA,20150323,0001104659-15-021759.txt.text,0001104659-15-021759.txt,
1053,1319161,WMG,20150305,0001193125-15-077723.txt.text,0001193125-15-077723.txt,
1054,1351051,SKH,20150219,0001351051-15-000012.txt.text,0001351051-15-000012.txt,
1055,1351051,SKH,20150220,0001351051-15-000017.txt.text,0001351051-15-000017.txt,
1056,1377789,AVNW,20150303,0001377789-15-000038.txt.text,0001377789-15-000038.txt,
1057,1384135,HEAT,20150217,0001185185-15-000335.txt.text,0001185185-15-000335.txt,
1058,23197,CMTL,20150319,0000023197-15-000011.txt.text,0000023197-15-000011.txt,
1059,311094,WABC,20150303,0001171843-15-001215.txt.text,0001171843-15-001215.txt,
1060,355948,RELL,20150129,0000355948-15-000007.txt.text,0000355948-15-000007.txt,
1061,48287,HNI,20150116,0000048287-15-000003.txt.text,0000048287-15-000003.txt,
1062,6284,ALOG,20150313,0001193125-15-091247.txt.text,0001193125-15-091247.txt,
1063,721693,CREG,20150217,0001144204-15-010152.txt.text,0001144204-15-010152.txt,
1064,792987,ASTE,20150113,0000792987-15-000002.txt.text,0000792987-15-000002.txt,
1065,799165,TGE,20150323,0001104659-15-021795.txt.text,0001104659-15-021795.txt,
1066,821026,ANDE,20150303,0000821026-15-000019.txt.text,0000821026-15-000019.txt,
1067,866121,ATK,20150302,0001104659-15-015838.txt.text,0001104659-15-015838.txt,
1068,872912,DCTH,20150316,0001193125-15-093848.txt.text,0001193125-15-093848.txt,
1069,876523,EZPW,20150204,0000876523-15-000014.txt.text,0000876523-15-000014.txt,
1070,91928,SJI,20150317,0000091928-15-000025.txt.text,0000091928-15-000025.txt,
1071,924822,MLR,20150114,0001571049-15-000238.txt.text,0001571049-15-000238.txt,
1072,949870,SAM,20150304,0000950156-15-000005.txt.text,0000950156-15-000005.txt,
1073,1000229,CLB,20150504,0001000229-15-000075.txt.text,0001000229-15-000075.txt,
1074,1001902,IVAC,20150616,0001193125-15-224662.txt.text,0001193125-15-224662.txt,
1075,1044577,CPSL,20150622,0001493152-15-002587.txt.text,0001493152-15-002587.txt,
1076,105076,WPP,20150416,0000916480-15-000036.txt.text,0000916480-15-000036.txt,
1077,1076481,SQNM,20150625,0001076481-15-000028.txt.text,0001076481-15-000028.txt,
1078,1084554,LTBR,20150610,0001062993-15-003279.txt.text,0001062993-15-003279.txt,
1079,1091883,CIR,20150508,0001091883-15-000024.txt.text,0001091883-15-000024.txt,
1080,1094285,TDY,20150415,0001094285-15-000043.txt.text,0001094285-15-000043.txt,
1081,1104485,N,20150413,0001104485-15-000009.txt.text,0001104485-15-000009.txt,
1082,110621,RPM,20150504,0001193125-15-169083.txt.text,0001193125-15-169083.txt,
1083,1111665,TSYS,20150403,0001299933-15-000513.txt.text,0001299933-15-000513.txt,
1084,1129633,PNX,20150611,0001354488-15-002926.txt.text,0001354488-15-002926.txt,
1085,1141103,CCRN,20150417,0001628280-15-002399.txt.text,0001628280-15-002399.txt,
1086,1168213,ARO,20150629,0001168213-15-000054.txt.text,0001168213-15-000054.txt,
1087,1275014,UCTT,20150403,0000950103-15-002729.txt.text,0000950103-15-002729.txt,
1088,1322439,EGLE,20150630,0001437749-15-013122.txt.text,0001437749-15-013122.txt,
1089,1327471,RLD,20150630,0001104659-15-048872.txt.text,0001104659-15-048872.txt,
1090,1344413,ALXA,20150611,0001193125-15-220578.txt.text,0001193125-15-220578.txt,
1091,1353970,CXDC,20150511,0001079973-15-000357.txt.text,0001079973-15-000357.txt,
1092,1361983,ORBC,20150615,0001193125-15-222685.txt.text,0001193125-15-222685.txt,
1093,1426800,VTUS,20150511,0001144204-15-029245.txt.text,0001144204-15-029245.txt,
1094,1490983,CCG,20150504,0001144204-15-027152.txt.text,0001144204-15-027152.txt,
1095,1504747,SWSH,20150521,0001354488-15-002670.txt.text,0001354488-15-002670.txt,
1096,1514705,SXC,20150508,0001193125-15-179637.txt.text,0001193125-15-179637.txt,
1097,356213,PNK,20150514,0000356213-15-000023.txt.text,0000356213-15-000023.txt,
1098,356213,PNK,20150515,0000356213-15-000025.txt.text,0000356213-15-000025.txt,
1099,59440,VGR,20150611,0000059440-15-000035.txt.text,0000059440-15-000035.txt,
1100,807884,CSH,20150616,0000807884-15-000028.txt.text,0000807884-15-000028.txt,
1101,920371,SSD,20150625,0000920371-15-000109.txt.text,0000920371-15-000109.txt,
1102,922521,FALC,20150616,0000922521-15-000018.txt.text,0000922521-15-000018.txt,
1103,1046568,CECO,20150908,0001193125-15-314475.txt.text,0001193125-15-314475.txt,
1104,1094739,FNSR,20150702,0001094739-15-000067.txt.text,0001094739-15-000067.txt,
1105,1095315,PFSW,20150914,0001193125-15-318636.txt.text,0001193125-15-318636.txt,
1106,1099941,MVC,20150706,0001140361-15-026793.txt.text,0001140361-15-026793.txt,
1107,1124105,TRGT,20150904,0001193125-15-313095.txt.text,0001193125-15-313095.txt,
1108,1165880,MRH,20150702,0001104659-15-049639.txt.text,0001104659-15-049639.txt,
1109,1165880,MRH,20150715,0001104659-15-051281.txt.text,0001104659-15-051281.txt,
1110,1292426,GFIG,20150706,0001104659-15-049865.txt.text,0001104659-15-049865.txt,
1111,1365101,PRMW,20150828,0001140361-15-033684.txt.text,0001140361-15-033684.txt,
1112,1365216,SCMP,20150814,0001171843-15-004698.txt.text,0001171843-15-004698.txt,
1113,1465112,DTV,20150827,0001465112-15-000026.txt.text,0001465112-15-000026.txt,
1114,1490983,CCG,20150806,0001144204-15-046621.txt.text,0001144204-15-046621.txt,
1115,1494904,GBLI,20150828,0001193125-15-306831.txt.text,0001193125-15-306831.txt,
1116,1514128,UAM,20150821,0001104659-15-061322.txt.text,0001104659-15-061322.txt,
1117,315449,UQM,20150820,0000315449-15-000056.txt.text,0000315449-15-000056.txt,
1118,317187,PPL,20150730,0000922224-15-000064.txt.text,0000922224-15-000064.txt,
1119,708955,FFBC,20150826,0000708955-15-000063.txt.text,0000708955-15-000063.txt,
1120,726514,ESIO,20150902,0000726514-15-000095.txt.text,0000726514-15-000095.txt,
1121,730255,CAMP,20150831,0001206774-15-002980.txt.text,0001206774-15-002980.txt,
1122,780571,ITRI,20150911,0000780571-15-000033.txt.text,0000780571-15-000033.txt,
1123,78749,AGYS,20150818,0000078749-15-000040.txt.text,0000078749-15-000040.txt,
1124,78749,AGYS,20150821,0000078749-15-000043.txt.text,0000078749-15-000043.txt,
1125,84748,ROG,20150723,0001157523-15-002470.txt.text,0001157523-15-002470.txt,
1126,866121,ATK,20150707,0000866121-15-000027.txt.text,0000866121-15-000027.txt,
1127,899715,SKT,20150911,0000899715-15-000159.txt.text,0000899715-15-000159.txt,
1128,920321,CVO,20150722,0000920321-15-000058.txt.text,0000920321-15-000058.txt,
1129,920321,CVO,20150910,0000920321-15-000077.txt.text,0000920321-15-000077.txt,
1130,921768,BBX,20150817,0001193125-15-293227.txt.text,0001193125-15-293227.txt,
1131,922224,PPL,20150730,0000922224-15-000064.txt.text,0000922224-15-000064.txt,
1132,931148,GTI,20150818,0000931148-15-000079.txt.text,0000931148-15-000079.txt,
1133,1001385,NWPX,20151216,0001437749-15-022385.txt.text,0001437749-15-022385.txt,
1134,1019849,PAG,20151224,0001299933-15-001848.txt.text,0001299933-15-001848.txt,
1135,1036044,INVE,20151130,0001193125-15-390932.txt.text,0001193125-15-390932.txt,
1136,1058057,MRVL,20151026,0001193125-15-353300.txt.text,0001193125-15-353300.txt,
1137,1065332,EGOV,20151030,0001157523-15-003587.txt.text,0001157523-15-003587.txt,
1138,1065332,EGOV,20151229,0001157523-15-004120.txt.text,0001157523-15-004120.txt,
1139,1099941,MVC,20151123,0000922423-15-000185.txt.text,0000922423-15-000185.txt,
1140,1136294,GLPW,20151216,0001104659-15-085236.txt.text,0001104659-15-085236.txt,
1141,1232582,AHT,20151001,0001232582-15-000133.txt.text,0001232582-15-000133.txt,
1142,1309082,LEI,20151001,0001354488-15-004471.txt.text,0001354488-15-004471.txt,
1143,1360886,OSIR,20151217,0001104659-15-085545.txt.text,0001104659-15-085545.txt,
1144,1476765,GBDC,20151120,0001144204-15-067113.txt.text,0001144204-15-067113.txt,
1145,1492658,TRNX,20151209,0001492658-15-000011.txt.text,0001492658-15-000011.txt,
1146,2186,RWC,20151110,0001354488-15-004937.txt.text,0001354488-15-004937.txt,
1147,36146,TRMK,20151221,0000036146-15-000094.txt.text,0000036146-15-000094.txt,
1148,63296,MATW,20151230,0000063296-15-000109.txt.text,0000063296-15-000109.txt,
1149,779152,JKHY,20151211,0000779152-15-000095.txt.text,0000779152-15-000095.txt,
1150,796764,PRXI,20151104,0001171843-15-006001.txt.text,0001171843-15-006001.txt,
1151,897723,SANM,20151211,0001104659-15-084364.txt.text,0001104659-15-084364.txt,
1152,919013,WAVX,20151002,0001628280-15-007525.txt.text,0001628280-15-007525.txt,
1153,925645,CETV,20151211,0000925645-15-000040.txt.text,0000925645-15-000040.txt,
1154,931148,GTI,20151002,0000931148-15-000088.txt.text,0000931148-15-000088.txt,
1155,933974,BRKS,20151207,0000933974-15-000048.txt.text,0000933974-15-000048.txt,
1156,1004155,GAS,20160216,0001004155-16-000101.txt.text,0001004155-16-000101.txt,
1157,1024795,SNHY,20160317,0001024795-16-000053.txt.text,0001024795-16-000053.txt,
1158,1038205,OZRK,20160219,0001193125-16-470060.txt.text,0001193125-16-470060.txt,
1159,1038205,OZRK,20160304,0001193125-16-493499.txt.text,0001193125-16-493499.txt,
1160,1058057,MRVL,20160223,0001193125-16-473541.txt.text,0001193125-16-473541.txt,
1161,1060990,KWK,20160314,0001060990-16-000122.txt.text,0001060990-16-000122.txt,
1162,1062613,FRP,20160318,0001062613-16-000140.txt.text,0001062613-16-000140.txt,
1163,1115055,PNFP,20160303,0001115055-16-000092.txt.text,0001115055-16-000092.txt,
1164,1136294,GLPW,20160330,0001104659-16-108694.txt.text,0001104659-16-108694.txt,
1165,1160791,GORO,20160324,0001558370-16-004326.txt.text,0001558370-16-004326.txt,
1166,1299033,CLMS,20160127,0001193125-16-439934.txt.text,0001193125-16-439934.txt,
1167,1305323,BPI,20160325,0001305323-16-000091.txt.text,0001305323-16-000091.txt,
1168,1315257,KOP,20160329,0001564590-16-015518.txt.text,0001564590-16-015518.txt,
1169,1385544,ZINC,20160321,0001385544-16-000033.txt.text,0001385544-16-000033.txt,
1170,1406666,CALX,20160304,0001406666-16-000046.txt.text,0001406666-16-000046.txt,
1171,1437071,IVR,20160225,0000914208-16-000853.txt.text,0000914208-16-000853.txt,
1172,1462418,ASPS,20160328,0001628280-16-013134.txt.text,0001628280-16-013134.txt,
1173,215466,CDE,20160314,0000215466-16-000174.txt.text,0000215466-16-000174.txt,
1174,717605,HXL,20160316,0001564590-16-014924.txt.text,0001564590-16-014924.txt,
1175,780571,ITRI,20160316,0000780571-16-000045.txt.text,0000780571-16-000045.txt,
1176,799165,TGE,20160325,0001104659-16-107662.txt.text,0001104659-16-107662.txt,
1177,875657,ULBI,20160325,0001193125-16-518150.txt.text,0001193125-16-518150.txt,
1178,911421,PRE,20160324,0000911421-16-000080.txt.text,0000911421-16-000080.txt,
1179,916076,MLM,20160318,0001564590-16-015054.txt.text,0001564590-16-015054.txt,
1180,928022,CPE,20160115,0000928022-16-000124.txt.text,0000928022-16-000124.txt,
1181,928022,CPE,20160308,0000928022-16-000134.txt.text,0000928022-16-000134.txt,
1182,1011570,KNL,20160517,0001011570-16-000077.txt.text,0001011570-16-000077.txt,
1183,1012477,FLML,20160419,0001144204-16-095072.txt.text,0001144204-16-095072.txt,
1184,1012477,FLML,20160616,0001144204-16-108421.txt.text,0001144204-16-108421.txt,
1185,1014111,IMN,20160512,0001144204-16-101313.txt.text,0001144204-16-101313.txt,
1186,1014111,IMN,20160608,0001144204-16-107389.txt.text,0001144204-16-107389.txt,
1187,1020710,DXPE,20160524,0001140361-16-066786.txt.text,0001140361-16-066786.txt,
1188,1022652,NVTL,20160620,0001022652-16-000106.txt.text,0001022652-16-000106.txt,
1189,1058299,LIOX,20160516,0001058299-16-000054.txt.text,0001058299-16-000054.txt,
